OBJECTID;weight;node_id;nps_dn;p_max
458;3600000.000000000000000;GS-2348;600;10
459;360000.000000000000000;GS-1219;150;16
460;360000.000000000000000;GS-1206;150;16
461;640000.000000000000000;GS-3400;200;16
462;640000.000000000000000;GS-1216;200;16
463;3600000.000000000000000;GS-2339;600;10
464;360000.000000000000000;GS-1100;150;16
465;625000.000000000000000;GS-2340;250;10
466;640000.000000000000000;GS-1215;200;16
467;270000.000000000000000;GS-2049;150;12
468;640000.000000000000000;GS-1231;200;16
469;44800000.000000000000000;GS-3446;800;70
470;960000.000000000000000;GS-3447;400;6
471;960000.000000000000000;GS-3448;400;6
472;960000.000000000000000;GS-3151;400;6
473;3600000.000000000000000;GS-3420;600;10
474;240000.000000000000000;GS-3150;200;6
475;68000000.000000000000000;GS-2466;1000;68
476;360000.000000000000000;GS-1428;150;16
477;640000.000000000000000;GS-1431;200;16
478;360000.000000000000000;GS-2038;150;16
479;360000.000000000000000;GS-2039;150;16
480;360000.000000000000000;GS-2036;150;16
481;360000.000000000000000;GS-2037;150;16
482;1440000.000000000000000;GS-1466;300;16
483;640000.000000000000000;GS-1078;200;16
484;360000.000000000000000;GS-2144;150;16
485;360000.000000000000000;GS-2060;150;16
486;640000.000000000000000;GS-2058;200;16
487;720000.000000000000000;GS-2053;300;8
488;11200000.000000000000000;GS-2298;400;70
489;640000.000000000000000;GS-2019;200;16
490;360000.000000000000000;GS-0897;150;16
491;360000.000000000000000;GS-0899;150;16
492;640000.000000000000000;GS-2022;200;16
493;360000.000000000000000;GS-0942;150;16
494;4000000.000000000000000;GS-1997;200;100
495;720000.000000000000000;GS-0916;300;8
496;720000.000000000000000;GS-0888;300;8
497;400000.000000000000000;GS-1908;200;10
498;400000.000000000000000;GS-2092;200;10
499;400000.000000000000000;GS-2093;200;10
500;400000.000000000000000;GS-2094;200;10
501;400000.000000000000000;GS-2095;200;10
502;360000.000000000000000;GS-0938;150;16
503;360000.000000000000000;GS-1877;150;16
504;360000.000000000000000;GS-1875;150;16
505;360000.000000000000000;GS-1868;150;16
506;360000.000000000000000;GS-1887;150;16
507;360000.000000000000000;GS-1322;150;16
508;17500000.000000000000000;GS-0953;500;70
509;11200000.000000000000000;GS-1617;400;70
510;500000.000000000000000;GS-0961;250;8
511;640000.000000000000000;GS-2133;200;16
512;640000.000000000000000;GS-1533;200;16
513;160000.000000000000000;GS-1720;100;16
514;640000.000000000000000;GS-1725;200;16
515;640000.000000000000000;GS-1711;200;16
516;160000.000000000000000;GS-1598;100;16
517;640000.000000000000000;GS-1599;200;16
518;160000.000000000000000;GS-0932;100;16
519;640000.000000000000000;GS-1026;200;16
520;2800000.000000000000000;GS-1347;200;70
521;160000.000000000000000;GS-1590;100;16
